Eviction ID,File Date,Neighborhoods - Analysis Boundaries
1310,2022,
58,2023,Chinatown
252,2021,Russian Hill
60,2020,Portola
923,1999,Potrero Hill
228,2018,Lone Mountain/USF
1596,2021,Mission
192,2010,Inner Richmond
221,2003,Twin Peaks
1668,2017,Mission
12,2019,Golden Gate Park
816,2017,Excelsior
72,2015,Japantown
380,2006,Bayview Hunters Point
432,2011,South of Market
636,2009,Haight Ashbury
144,2021,Lakeshore
492,2013,Haight Ashbury
516,2009,South of Market
1131,2002,Tenderloin
168,2016,Glen Park
132,2016,Presidio Heights
91,2003,Portola
84,2015,Financial District/South Beach
708,2012,Russian Hill
264,2022,Hayes Valley
600,2008,Inner Sunset
900,2014,Pacific Heights
240,2019,Portola
12,2017,Seacliff
48,2010,Japantown
923,1997,Inner Sunset
84,2009,Japantown
468,1997,Oceanview/Merced/Ingleside
143,2004,Outer Mission
156,2022,Castro/Upper Market
1932,2015,Sunset/Parkside
492,2010,Haight Ashbury
871,2001,Bernal Heights
65,1997,Seacliff
84,2012,Golden Gate Park
650,1997,North Beach
1482,2003,
1272,2010,Mission
1932,2016,Tenderloin
827,2020,
132,2020,Bernal Heights
168,2020,Excelsior
676,2001,North Beach
252,2008,Outer Mission
312,1998,Western Addition
910,1998,Portola
487,2006,Inner Richmond
1040,1999,Marina
123,2006,Financial District/South Beach
65,2004,Seacliff
1495,1998,Haight Ashbury
37,2023,Pacific Heights
2366,2000,Sunset/Parkside
180,2021,Chinatown
600,2015,Outer Mission
180,2011,Twin Peaks
348,2017,West of Twin Peaks
221,2004,Russian Hill
832,1998,Tenderloin
871,2001,Lone Mountain/USF
420,2013,Hayes Valley
456,2018,Outer Mission
429,2004,Oceanview/Merced/Ingleside
390,2000,Twin Peaks
588,2007,Marina
480,2012,Excelsior
403,2004,Bayview Hunters Point
12,2010,Mission Bay
533,1998,Outer Mission
456,2014,Portola
744,2020,South of Market
324,2018,Haight Ashbury
876,2021,Tenderloin
360,2018,North Beach
936,2008,Hayes Valley
312,2018,Inner Sunset
871,2004,Sunset/Parkside
312,2011,North Beach
516,2010,Castro/Upper Market
24,2021,Twin Peaks
1692,2010,Tenderloin
24,2006,Lincoln Park
871,1999,Inner Richmond
728,1997,Tenderloin
38,2006,Seacliff
84,2010,Treasure Island
324,2008,Presidio Heights
192,2007,Visitacion Valley
360,2015,Chinatown
708,2020,Lakeshore
117,2005,Portola
1794,1999,Castro/Upper Market
3952,1999,Mission
132,2010,Glen Park
